ai_app_id,ability_id,replicate,attained_level,ceiling_reason,confidence,error
3,35,1,1.0,"Image recognition is a disembodied classification model with no body or actuators, so it performs no physical trunk-supporting work at any level.",high,
12,38,1,1.0,"The application is a disembodied software system with no physical body, so it cannot bend, stretch, twist, or reach at any level.",high,
12,29,0,1.0,"The application has no sensory-motor loop \u2014 it performs no hand, finger, or foot response to a physical signal at all, so it does nothing for this activity even at level 1.",high,
8,53,2,1.8,"The model only maps static text to text; it can register affect and politeness cues well enough to preserve tone, but it never observes people or their ongoing reactions, so it cannot be relied on for even level-2 situational awareness of why someone is reacting as they do.",medium,
3,11,1,3.0,"A trained vision model applies one fixed, pre-learned taxonomy over visible attributes (shape, size, color, fine-grained type) but cannot generate or switch to new grouping rules, especially ones based on non-visual properties like cost, strength or melting point required at higher levels.",medium,
11,47,2,1.0,Glare sensitivity is a human visual-perceptual ability requiring eyes and real-world visual scenes; a mathematical reasoning system performs no part of it even at level 1.,high,
10,33,1,1.0,"A purely digital agent has no body and exerts no muscle force, so it performs none of this physical activity even at the lowest anchor.",high,
5,44,0,1.3,"The model only renders plausible perspective and occlusion cues inside a synthesised picture; it does not sense or judge real distances to objects, so even the level-2 anchor (egocentric distance judgment for merging a car) is outside what it does.",high,
12,18,1,1.0,"The application operates purely on text and code with no embodiment, physical location, or environmental frame of reference, so it does not perform spatial orientation even at level 1.",high,
9,26,1,1.0,A speech-to-text pipeline has no effectors and performs no physical limb coordination whatsoever.,high,
8,20,0,4.3,"The model never fatigues and sustains monotonous long-run processing, but on long or noisy inputs it drifts in terminology, loses mid-context detail, and can be hijacked by embedded instructions or garbled material, so it cannot be trusted to hold deep comprehension amid strong interference.",medium,
7,29,1,1.0,"A text-only language model has no sensors or effectors, so it cannot perceive a physical signal or produce any hand, finger, or foot response at all.",high,
13,13,1,3.0,"In-dialogue mental arithmetic is fluent but not reliably exact once multiple steps or many digits are involved (and spoken numbers can be misheard), so checkbook-style running totals are near the limit and interest-payment computations cannot be trusted unsupervised.",medium,
11,29,2,1.0,"A text-based mathematical reasoning system has no sensors or motor effectors and performs no rapid physical response to a signal, so it does nothing for this activity even at level 1.",high,
7,39,1,1.0,"A text-only model has no body or actuators, so it performs no physical whole-body movement at any level.",high,
2,56,2,1.0,"A real-time game-playing agent acts through motor/control outputs in a simulated environment and has no channel for communicating with, persuading, or reconciling differences among people, so it performs no part of the negotiation activity even at the level-2 anchor.",high,
9,28,1,1.0,"A speech-to-text pipeline has no motor output or physical actuation, so it cannot time movements against a moving object at any level.",high,
5,45,0,4.5,"It renders plausible, internally coherent colour and shading and can approximate a reference palette, but it cannot reliably hit a specified exact colour (hex/brand/Pantone), keep hues consistent across a set, or verify a match, so colour-critical work still needs human checking.",medium,
8,15,0,3.4,"A text-to-text translation model can rapidly resolve fragmentary, misspelled or idiomatic strings into coherent meaning (level 3-like closure on linguistic input), but it takes no perceptual/visual input such as handwriting or radar imagery and cannot integrate noisy non-linguistic patterns into a decision, so the level 4-5 anchors are out of reach.",medium,
2,47,0,1.0,"The agent consumes clean rendered game frames or API state, never a physical optical scene, so it never performs seeing under real glare or bright ambient light at all.",high,
6,56,0,1.0,"The application only extracts and combines evidence from a supplied passage to answer questions; it has no channel to interact with parties, represent interests, make concessions, or reconcile differences, so it performs none of the activity even at the level-2 anchor.",high,
12,16,2,4.5,"It reliably surfaces known code patterns amid large-repo clutter via search and traceback following, but misses deeply camouflaged defects — subtle cross-file interactions, misleading symptoms, or bugs whose signature isn't lexically present — often patching the wrong location without noticing.",medium,
5,40,1,1.0,"An image generation model has no body and performs no physical balancing activity whatsoever, so it does nothing even at level 1.",high,
10,29,2,1.0,"Reaction Time is a psychomotor ability requiring near-instant hand/finger/foot movement in response to a physical signal; a software agent has no effectors and its perceive-plan-act loop runs on the order of seconds, so it performs none of the anchored responses even at the lowest level.",high,
3,30,1,1.0,"An image-labelling model has no actuators and performs no physical finger, hand, or wrist movement at all, so it does nothing for this activity even at level 1.",high,
3,21,1,1.5,"A still-image classifier consumes a single static input stream and has no temporal or cross-source attention to shift between, so it does not perform even the level-2 anchor of sustaining two concurrent activities (at best it parses multiple objects within one frame).",high,
2,16,0,4.7,"Trained agents reliably pick out known game entities from cluttered rendered scenes at superhuman speed, but this works only within the distribution they were trained on — novel visual clutter, unseen camouflage-like occlusion, or off-distribution rendering degrades detection sharply, so the level-6 style hard signal-in-noise discrimination is not attained.",medium,
2,31,0,1.0,The agent has no body or limbs; it emits action commands through a software interface and performs no physical arm or leg movement at all.,high,
4,2,1,4.5,"It reliably parses questions and moderately complex document/lease-level prose, but sustained comprehension of dense technical manuals with consequential downstream use is unreliable without human checking (hallucination, misreading fine detail).",medium,
10,52,2,1.0,"The application as defined operates entirely through text, code, and software interfaces and produces no spoken output at all, so it does not perform this activity even at the level of calling bingo numbers.",high,
8,18,0,1.0,"A text-to-text translation model has no embodiment, sensory input, or positional awareness, so it performs no spatial orientation at all even at level 1.",high,
5,38,2,1.0,"An image generation model has no body and performs no physical bending, stretching, twisting, or reaching whatsoever.",high,
3,50,1,1.0,"The application processes still images only and has no audio input, so it cannot localize sound at any level.",high,
2,53,1,1.5,"The agent models opponent strategy statistically to win, but has no representation of others' emotional states or the reasons behind human reactions, so it cannot even reliably perform the level-2 anchor of recognizing why a person is upset.",high,
13,20,1,4.5,"It never fatigues and holds focus indefinitely on a single thread, but in multi-speaker/noisy audio the recognition front end degrades and in long, tangent-filled dialogues it loses or is derailed from the original task, so it cannot match level-6 sustained deep concentration under heavy interference.",medium,
11,4,1,5.1,"It writes clear, well-structured technical prose and proof write-ups at graduate level, but book-length, self-consistent authoritative exposition (the level-6 textbook anchor) still requires human verification because subtly wrong or overconfident derivations are presented with the same fluency as correct ones.",medium,
10,40,2,1.0,Gross Body Equilibrium is a purely physical ability requiring a body in an unstable position; a software agent operating in a digital environment has no body and performs none of it.,high,
7,57,2,4.5,"Text-only explanation handles procedural teaching like software or policy walkthroughs well, but it cannot demonstrate physical technique, verify a learner's actual performance, or be trusted unsupervised where a hallucinated step would cause real harm (the level 6 anchor).",medium,
5,38,0,1.0,"An image-generation model has no body and performs no physical bending, stretching, or reaching, so it does nothing for this activity even at level 1.",high,
11,5,1,5.2,"It readily produces many candidate approaches, lemmas, and reformulations for a stated problem, but at level-6 breadth it cannot be trusted to exhaustively canvass a strategy space in an unfamiliar or open-ended domain — its enumerations cluster on familiar, training-distribution templates and quietly omit whole classes of approach.",medium,
11,7,0,4.5,"It reliably catches overt inconsistencies, unit/sanity violations, and gross logical gaps, but cannot be trusted unsupervised to spot subtle flaws in a plausible-looking derivation or its own reasoning (the level-6 'few symptoms' case), and it also raises false alarms.",medium,
10,56,1,2.2,"It can autonomously draft and send low-stakes requests or coordinate scheduling/refund-style back-and-forth, but it has no standing authority to commit a party, cannot read or manage a live counterparty's interests and trust, and any binding commercial agreement (level 4+) would require human sign-off.",medium,
10,17,2,4.5,"It can compare and check digital data streams, files, and dashboard values quickly and exactly via code and APIs, but level 6-style rapid, high-accuracy visual discrimination of physical objects (or noisy screen imagery) is outside its digital sensorium and beyond reliable VLM accuracy.",medium,
12,25,1,1.0,"The application is purely textual/software-based and never manipulates physical machine or vehicle controls, so it performs nothing on this psychomotor scale even at level 1.",high,
10,45,0,3.5,"It can compare colors exactly on digital images by extracting pixel values programmatically, but VLM perception of subtle shades in real-world imagery is unreliable and it cannot perform the mid-to-high anchors that require tracing or rendering color in a physical scene.",medium,
13,57,2,4.3,"It can explain and adaptively coach procedural and conceptual tasks in dialogue (level ~4), but cannot physically demonstrate a skill, verify a learner's hands-on performance, or be trusted unsupervised with high-stakes instruction where hallucinated procedural detail would injure someone (level 6).",medium,
12,4,2,3.5,"Its written output is confined to short incidental artifacts (commit messages, patch summaries, code comments) that are fluent but sometimes misdescribe the actual change, and it never authors sustained, audience-calibrated documents of the kind level 4+ anchors describe.",medium,
1,42,1,1.0,"A game-tree search agent operates on symbolic board states and has no optical sensing whatsoever, so it performs no distance-vision task at any level.",high,
11,19,2,3.0,"It can imagine rearrangements only when they are expressible symbolically (coordinate geometry, combinatorial configurations); it cannot reliably read a physical assembly diagram or track objects through spatial transformations, so the level-4 anchor is not met unsupervised.",medium,
11,39,2,1.0,"The application is a disembodied reasoning system with no physical body or actuators, so it performs no whole-body movement at any level.",high,
12,18,0,1.0,"The application operates purely on text/code and has no body, position, or environment to orient within, so it performs no spatial orientation at all — not even the level-2 floor-plan case.",high,
6,15,2,4.2,"It rapidly extracts and combines evidence from supplied text, handling some ambiguity and noise, but cannot be trusted to infer a decision-grade pattern from incomplete or noisy real-world signals (the level-5 radar case), and multi-hop or adversarial passages still yield confident misreadings that require human checking.",medium,
5,26,2,1.0,"An image generation model has no body or actuators, so it performs no limb coordination at all — even the level 2 anchor (rowing a boat) requires physical motor action it cannot take.",high,
1,3,0,1.0,"A game-playing search agent produces moves, not speech; it has no capacity to communicate information orally at all.",high,
8,54,2,1.2,"A translation model only maps input text to output text; it has no representation of other agents' ongoing actions or plans and cannot adjust its behavior to synchronize with them, so it barely registers even at level 1 (at most passive turn-taking in an interpreted exchange).",high,
9,40,2,1.0,"A speech-to-text model has no body and performs no physical balancing whatsoever, so it does nothing for this activity even at level 1.",high,
11,42,1,1.0,"The system is a text-based reasoning engine with no visual sensing of the physical environment, so it performs no far-vision activity at all, even at level 1.",high,
7,29,2,1.0,"A text-predicting model has no sensors or motor effectors, so it cannot perceive a physical signal or respond with hand, finger, or foot at all.",high,
5,58,2,1.3,"The model only renders images in response to an explicit prompt; it has no capacity to notice a person's need, initiate an offer of help, or take responsibility for a service transaction, so it barely registers even at the level-2 'offer a customer coffee' anchor.",high,
2,23,1,2.0,"The agent emits control inputs in software and has no hands or effectors, so it can substitute for the rapid-input component of gameplay but cannot grasp or manipulate any physical object, even at the level-1 light-bulb anchor.",high,
4,3,1,3.0,"The model emits short written answers about image content rather than speech, and lacks the sustained, audience-adapted explanation that level 4+ anchors (guiding a lost motorist, teaching genetics) require.",medium,
12,50,1,1.0,"The application processes text and code and has no auditory input or spatial hearing capability, so it performs no sound localization at all.",high,
7,32,1,1.0,"A text-predicting model has no body or actuators, so it exerts no physical force at all, not even pushing an empty cart.",high,
2,16,1,5.0,"Trained agents reliably pick out known game entities amid dense visual clutter at high speed within the environment they were trained on, but they cannot detect genuinely novel or deliberately disguised patterns outside that distribution, which is what the level-6 camouflage anchor requires.",medium,
7,44,1,1.0,"A text-only language model has no visual input or spatial sensing, so it cannot judge relative distance of objects at all.",high,
7,50,1,1.0,"A text-only language model has no auditory input or spatial hearing, so it cannot localize sound at all, even at level 1.",high,
4,25,1,1.0,"Visual question answering only produces text answers about images; it has no actuators or control loop, so it performs no machine or vehicle control adjustment at any level.",high,
12,8,0,4.5,"It reliably applies language/API rules to localize and patch well-scoped issues verified by existing tests, but its resolve rate drops sharply on multi-constraint or cross-module reasoning where no test pins the correct behavior, so it cannot be trusted unsupervised at the level-5+ 'weigh which factors govern the design' band.",medium,
2,29,0,5.5,"Game agents react to on-screen signals with superhuman latency and consistency, but their stimulus detection is tied to trained distributions and degrades on novel or out-of-distribution events, so they cannot be trusted for the level-6 anchor's rare, unexpected, safety-critical trigger.",medium,
13,47,0,1.0,"Glare Sensitivity is a visual-perceptual ability requiring seeing objects under bright light; a conversational dialogue system has no visual perception role at all, so it performs nothing on this scale.",high,
4,54,1,1.0,"A VQA model only emits answers about static images; it takes no actions in a shared task and has no mechanism for perceiving or adjusting to others' ongoing actions, so it does not perform coordination even at the level-2 appointment-scheduling anchor.",high,
4,35,1,1.0,Trunk Strength is a physical muscular capacity requiring a body; a visual question answering model has no embodiment and performs none of this activity at any level.,high,
13,11,0,5.0,"It fluently regroups and re-sorts concepts under shifting criteria in dialogue, but multi-attribute technical taxonomies (level-6 style) rest on unverified recalled properties, so its schemes can be plausible yet wrong without a human checking.",medium,
4,17,1,3.0,"It reliably reads and matches simple discrete symbols (digits, labels, obvious object differences) with no time pressure, but degrades on rapid multi-item comparison, fine-grained detail differences, and precise gauge/dial reading, where errors would be silent and consequential.",medium,
8,46,1,1.0,"A text translation model has no visual sensing capability whatsoever, so it cannot see under any lighting condition.",high,
4,49,1,1.0,"The application takes images and text only, processing no audio at all, so it cannot attend to any sound source, let alone isolate one amid noise.",high,
3,23,2,1.0,"A vision model that labels objects in images has no effector or physical manipulation capability at all, so it cannot grasp or move anything even at the level-1 anchor.",high,
