ai_app_id,ability_id,replicate,r,rationale,confidence,error,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens
1,9,0,0.85,"Self-play training plus a learned evaluation function is essentially induction over millions of positions: the agent generalizes from specific game states to reusable positional heuristics and pattern-to-outcome relationships, which is the core of inductive inference, though the induced rules stay implicit and are confined to a closed, fixed-rule domain rather than being articulated or transferred.",medium,,79,368,0,1538
1,13,0,0.25,"Game-playing agents perform heavy internal numerical evaluation and score aggregation, but arithmetic on user-supplied numbers is not an input-output task the trained agent plus search exposes, so support for fast, correct computation is only indirect.",medium,,61,314,0,1538
1,17,0,0.8,"Game-playing agents rapidly encode board states and compare huge numbers of candidate positions for similarities and differences, which is essentially automated high-speed pattern comparison; the gap is that the ability's canonical tasks involve visual scanning of arbitrary symbol sets rather than fixed-rule game states.",medium,,81,360,0,1538
1,28,0,0.03,"Rate control is a continuous psychomotor timing ability tied to physically tracking moving objects, whereas abstract strategy game agents operate on discrete, static, turn-based states with no motor output or dynamic tracking; any 'anticipation' overlap is metaphorical rather than functional.",high,,77,203,1538,0
1,38,0,0.0,"Dynamic Flexibility is a purely physical, whole-body motor ability; a board-game search agent produces discrete move selections and has no bodily or actuation component.",high,,80,76,1538,0
2,22,0,0.03,"Arm-hand steadiness is a physical psychomotor ability requiring bodily control of a limb, while the game-playing agent emits virtual actions through a software interface and has no embodiment; the only faint analogue is precise continuous control (e.g., aiming), which is not physical steadiness.",high,,77,267,0,1488
2,27,0,0.7,"Choice reaction under time pressure is exactly what a real-time game agent does: mapping distinct perceptual signals to the correct action among several alternatives with minimal latency, and RL agents exceed human latency and accuracy here; the discount is because the human ability is framed around initiating bodily movements rather than discrete in-game commands.",medium,,75,490,0,1488
2,47,0,0.02,"Game-playing agents consume clean digital frames or game state, so they never confront physical glare or bright-light degradation of an optical signal; by analogy with the expert 0.00 for Far Vision, this low-level human visual robustness ability gets essentially no support.",high,,61,220,0,1488
2,48,0,0.05,"Game-playing agents act on visual/state inputs under time pressure; detecting pitch and loudness differences in audio is not part of the pipeline, mirroring the 0.00 expert score for other sensory abilities like Far Vision.",high,,69,201,1488,0
2,49,0,0.08,"Game-playing agents operate on visual/state observations and action outputs; audio streams are typically absent from their input, and selective attention to one sound source amid competing sounds (source separation, cocktail-party listening) is a distinct capability not exercised by these agents, paralleling FRS's 0.00 for other unused sensory channels.",medium,,64,322,1488,0
3,2,0,0.1,"Object labelling in still images operates on visual content, not on the semantics of written language; any overlap is incidental (e.g., detecting text as a visual object) and does not deliver comprehension of ideas in prose.",high,,57,216,0,1474
3,8,0,0.35,"Classifying a specific image under learned general categories loosely mirrors applying rules to particular cases, but image recognition performs statistical pattern matching rather than chained logical inference, and it cannot handle the symbolic, multi-premise problems that define deductive reasoning.",medium,,64,351,0,1474
3,21,0,0.2,"Time sharing is about attentional switching among multiple concurrent activities or information streams, whereas image recognition labels objects in a single still image; it only helps indirectly by automating one visual monitoring stream (e.g., watching many camera feeds) so a person need not divide attention there.",medium,,59,274,0,1474
3,24,0,0.03,"Image recognition outputs labels for visual content and has no actuation or fine-motor control component; grasping and assembling small objects requires physical manipulation the model cannot perform, and even its visual guidance role would need a separate robotic system.",high,,83,192,1474,0
3,25,0,0.05,"Control precision is a psychomotor execution ability requiring continuous fine adjustment of physical controls; a still-image labeling model produces no actuation and at most supplies visual feedback that some other controller would have to act on, consistent with FRS scoring related motor abilities at 0.00.",high,,71,302,1474,0
4,15,0,0.8,"Speed of Closure is fundamentally perceptual pattern completion 
dash recognizing meaningful wholes from incomplete or cluttered visual input 
dash which is exactly what a VQA model does when it parses a scene and integrates it with a question into a single coherent answer; it falls short of full coverage because human closure tests also cover degraded non-visual and highly ambiguous stimuli where such models are brittle.",medium,,66,473,0,1494
4,18,0,0.6,"VQA can resolve relative spatial relations among objects in an image and infer viewpoint-relative placement from an egocentric photo, covering much of the 'where are objects in relation to me' sub-task, but it lacks continuous self-localization, motion tracking and embodied frame-of-reference updating that grounding one's own position in an environment requires.",medium,,65,363,0,1494
