ai_app_id,ability_id,replicate,attained_level,ceiling_reason,confidence,error
12,69,1,1.5,"The system's defined output is a code patch that passes tests, not instruction; at best its commit messages or code comments incidentally convey a procedural note, and it never assesses learners' needs, designs curriculum, or delivers teaching.",high,
7,66,1,2.8,"It can sustain fluent text chat with customers, but has no physical or vocal presence to serve, transact, or perform, and its tendency to invent policies or commitments makes unsupervised handling of real customer cases (level 4 and above) unsafe.",medium,
10,71,0,2.5,"It can demonstrate procedures and generate walkthroughs or code-review feedback in a digital environment, but it cannot observe a specific person over time, diagnose their individual developmental needs, or sustain the motivational, accountable relationship that on-the-job training (level 4) and coaching (level 6) require.",medium,
9,67,2,1.2,"Transcription produces a text record of speech but performs no coordination itself u2014 it cannot assign tasks, align people, or even ensure information is exchanged at a shift change without a human acting on the transcript.",high,
7,71,1,3.2,"It can explain procedures and give tailored feedback on text a learner supplies, but with no ability to observe performance, track a learner across time, or diagnose developmental needs unprompted, it cannot own a sustained on-the-job training relationship (level 4+).",medium,
1,70,0,1.0,"A board-game search agent has no subordinates, no model of human performance, and no channel for setting standards or giving direction, so it performs none of this activity even at level 1.",high,
1,66,0,1.0,"A game-playing search agent has no interface with people at all
interacting only with board states
so it performs none of this activity even at the toll-booth level.",high,
3,68,0,1.0,"A vision model that labels objects in images performs no interpersonal action whatsoever, so it cannot even encourage two coworkers at level 1.",high,
11,74,1,1.0,"A formal reasoning solver performs no recruiting, interviewing, selection, or hiring activity at all; staffing involves human judgment, legal compliance, and interpersonal evaluation entirely outside its scope.",high,
4,64,0,1.2,"Answering questions about image content involves no persuasion of a counterparty; at most it supplies descriptive facts a human seller might use, and it cannot conduct or close any influence attempt itself.",high,
10,72,1,3.5,"It can autonomously gather evidence, test options and draft a well-supported recommendation (near the level-4 software-package anchor), but it lacks the organizational context, stakeholder read and accountability to have advice acted on unreviewed, and its factual errors in sourcing/costing still require a human sign-off.",medium,
2,61,0,1.0,"A game-playing agent produces control actions in a simulated environment and has no channel for representing an organization to customers, the public, or government.",high,
4,75,0,1.5,"It can only describe what is visible in a single image (e.g., roughly count stocked items), with imperfect counting accuracy, and cannot maintain records, track usage over time, reorder, or oversee any spending, so it falls short of even the level-2 linen-tracking role.",high,
10,63,1,3.5,"It can reliably perform digital favors and information/logistics assistance (level 2-3, and much of the lodging-search work at level 4), but end-to-end unsupervised handling of a real person's stranded booking with payments and edge cases is still error-prone, and any physical or medical care (level 6) is outside its modality entirely.",medium,
11,65,2,1.0,"A formal reasoning solver has no interpersonal party to negotiate with and performs no complaint handling, dispute settlement, or bargaining at all, even at the level-2 apology anchor.",high,
2,75,1,2.8,"The agent allocates in-game currency and production capacity competently in real time, which exceeds simple item tracking, but it operates only on closed, fully-observable simulated resources within the single environment it was trained on and cannot be entrusted with real money, procurement, or budget oversight where errors have financial consequence.",medium,
1,66,1,1.0,"A game-playing search agent has no interface with customers, clients or an audience — it only outputs moves in a closed rule system — so it performs none of this activity even at the toll-booth level.",high,
3,64,2,1.0,"A vision model that outputs object labels performs no persuasion or communication with people at all, so it does not perform the activity even at level 1.",high,
4,68,2,1.0,"Answering questions about image content involves no interpersonal interaction, so the system does not perform team-building even at the level-1 anchor of encouraging two coworkers.",high,
13,73,2,2.5,"A dialogue system can elicit and transcribe information into routine standard forms and maintain simple conversational records, but it cannot be trusted unsupervised with substantive filings like tax forms where an error carries legal or financial liability, and it has no reliable hold on the document systems and filing workflows themselves.",medium,
9,74,0,1.0,"Transcription of speech produces text only; it performs no recruiting, candidate evaluation, selection, or hiring decision-making whatsoever.",high,
2,67,1,2.5,"It achieves implicit real-time coordination among its own units or bot teammates toward shared objectives, but it cannot assign tasks, communicate instructions, or direct human workers, so it falls well short of organizing an actual crew (level 4).",medium,
2,60,1,1.0,"A trained game-playing agent emits only in-game actions; it does not compose notes, reports, or spoken updates to human supervisors or co-workers, so it performs nothing of this activity even at the level-1 anchor.",high,
3,63,1,1.0,"A vision model that outputs object labels provides no personal assistance, emotional support, or physical care to any person, so it does not perform the activity even at level 1.",high,
8,60,2,2.0,"A translation model only converts text someone else authored
into another language; it does not decide what to communicate, summarize outcomes, or take responsibility for an exchange with supervisors or peers, so it supports only the simplest note/e-mail-level transmission and cannot deliver a level-4 report of meeting results.",medium,
4,70,0,1.0,"Answering questions about image content provides no guidance, performance standards, or authority over subordinates, so the activity is not performed even at level 1.",high,
13,74,1,3.0,"It can run structured screening interviews and summarize candidate responses, but selection and hiring recommendations (level 4) carry discrimination-law and mis-hire liability that requires human sign-off, and it cannot verify credentials, negotiate offers, or manage the wider recruiting process.",medium,
7,59,0,5.0,"Without retrieval or verification tools it can fabricate plausible specifics, so consequential domain interpretation (e.g., how foreign tax law applies to a given export) and faithful explanation of a specific novel experiment cannot be trusted unsupervised, even though general-audience explanation of well-established material is fluent and accurate.",medium,
1,74,0,1.0,"A board-game search engine has no capacity to recruit, interview, or select people; it performs nothing of this activity even at the lowest anchor.",high,
13,63,2,3.7,"It can give information, guidance, and emotional support in dialogue, but cannot perform the physical, hands-on personal or medical care that levels 5-6 require, and its emotional-support role in high-distress or clinical situations cannot be left unsupervised.",medium,
7,61,1,3.5,"It can compose fluent customer-facing replies and draft standard service descriptions or press releases, but without tools or verified organizational facts it hallucinates specifics and cannot be left unsupervised to speak for the organization to customers, press, or regulators where a misstatement carries legal or reputational cost.",medium,
5,67,0,1.0,"A text-to-image generative model produces pictures and has no capacity to direct, schedule, or align the actions of other people, not even the level-2 act of exchanging information at a shift change.",high,
1,67,1,1.0,"A single-agent search-and-evaluation engine for perfect-information board games has no model of people, no communication channel to group members, and never assigns or synchronizes anyone's tasks.",high,
3,68,1,1.0,"An image-labelling vision model performs no interpersonal or team-building activity at all; it cannot encourage, build trust among, or lead people.",high,
13,73,1,2.5,"It can elicit and transcribe information into routine standard forms and records through dialogue, but lacks verified access to systems of record and the accuracy/accountability needed for consequential filings like tax forms, so completed work still requires human checking.",medium,
5,70,2,1.0,"A text-to-image generative model has no subordinates, no channel for setting performance standards or monitoring people, and produces only pictures, so it performs none of this activity even at the backup-supervisor level.",high,
2,62,1,1.1,"The agent optimizes in-game actions and at most coordinates tactically with teammates; it does not develop or sustain any social relationship, so it barely reaches the level-1 'exchange greetings' anchor via scripted/emergent in-game signaling.",high,
11,64,1,1.5,"Its only persuasive output is the logical force of a correct derivation, which can change a technical reader's mind about a claim; it has no model of a counterparty's motives, no ability to read resistance or tailor appeals, and cannot conduct the interpersonal negotiation or pitching that level 4+ anchors require.",medium,
3,68,2,1.0,"An object-labelling vision model has no capacity to interact with, motivate, or build trust among people, so it performs none of this activity even at the level-1 anchor.",high,
10,71,2,2.5,"It can demonstrate and document digital procedures step-by-step, but it does not observe a specific person's performance over time, diagnose their developmental needs, or sustain the adaptive interpersonal coaching that level 4+ on-the-job training requires.",medium,
6,64,0,1.2,"The system only extracts and combines evidence from a supplied passage to answer questions; it does not initiate persuasion, tailor appeals to an audience, or take responsibility for changing anyone's mind or actions, so even the level-1 anchor of convincing a coworker is barely touched.",high,
6,73,2,2.0,"It can extract field values from a supplied document to support filling a standard form, but it has no ability to maintain files, transact with systems, or handle the multi-source judgment and compliance stakes of level 4 paperwork.",medium,
1,75,0,1.0,"A board-game agent handles no real-world resources, inventory, or money; allocating game material or clock time within fixed rules is not overseeing spending, so it performs nothing of this activity even at level 1.",high,
9,63,1,1.0,"Transcribing speech to text provides no personal assistance, medical attention, or emotional support; it only converts audio into text for someone else to act on.",high,
7,73,2,2.5,"Without tools, persistent storage, or system access it can only draft/fill routine form text from supplied inputs — it cannot maintain actual information files, and rule-specific, arithmetic-heavy filings like tax forms are unreliable and consequential enough to require review.",medium,
