ai_app_id,ability_id,replicate,r,rationale,confidence,error,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens
1,9,0,0.9,"Game-playing agents learn general positional evaluation patterns and strategic principles from vast self-play experience, generalizing from specific positions to rules of good play, which is the core of inductive inference within a closed rule domain.",medium,,79,95,0,1538
1,13,0,0.35,"Game-playing agents perform fast numeric evaluation and score arithmetic internally (material counts, position values), so they touch the computational substrate of number facility, but they neither accept nor produce general arithmetic problems, so they support the ability only indirectly and within a fixed game domain.",medium,,61,209,0,1538
1,17,0,0.8,"Game agents rapidly encode board states and compare many candidate positions/patterns against learned templates, which mirrors fast accurate comparison of symbolic patterns, though the ability's visual-scanning-of-lists framing is only partly matched by fixed-format board encodings.",medium,,81,243,0,1538
1,28,0,0.0,"Abstract strategy games operate on discrete, static, turn-based states with no continuous motion or motor timing, so they provide nothing for anticipating and timing movements against moving objects.",high,,77,83,1538,0
1,38,0,0.0,"Abstract strategy game agents operate purely over discrete symbolic board states with no physical embodiment, so they contribute nothing to repeated bodily bending, stretching, or reaching.",high,,80,87,0,1538
2,22,0,0.0,"Game-playing agents act via digital action outputs and have no physical arm or hand, so they provide nothing for maintaining bodily steadiness, consistent with the zero scores on other physical/motor abilities.",high,,77,93,0,1488
2,27,0,0.75,"Game-playing agents' core loop is exactly choice reaction: mapping distinct perceptual signals to the correct discrete action with minimal latency, which they do at superhuman speed and accuracy; the deduction is only that the 'movement' here is a control input rather than a bodily one.",medium,,75,262,0,1488
2,47,0,0.0,"Game-playing agents operate on clean rendered frames or game state, not on physical optics; nothing in the application addresses seeing under glare or bright ambient lighting, consistent with the 0.00 given to Far Vision.",high,,61,98,0,1488
2,48,0,0.05,"Game-playing agents act on visual/state input under time pressure; detecting pitch and loudness differences in audio is not part of their pipeline, mirroring the zero scores given to sensory abilities like Far Vision.",high,,69,168,1488,0
2,49,0,0.05,"Game-playing agents operate mainly on visual state input and action selection; selective attention to one audio stream amid competing sounds is not a core task of the trained agent, consistent with the zero scores for other sensory/motor abilities.",medium,,64,98,1488,0
3,2,0,0.15,"Image recognition assigns object labels to visual content and does not parse or interpret written text; at most it indirectly touches reading via OCR-adjacent character/scene-text detection, which is not comprehension of ideas.",high,,57,93,0,1474
3,8,0,0.2,"Image classification applies learned category rules to specific instances, which touches rule-application only superficially; it does not perform logical inference from general premises to conclusions, the core of deductive reasoning.",medium,,64,85,0,1474
3,21,0,0.2,"Image recognition can process multiple visual streams or regions in parallel, indirectly relieving the need to attend alternately to several sources, but attention-switching across heterogeneous activities is not a task the vision model performs.",medium,,59,94,1474,0
3,24,0,0.03,Finger dexterity is a fine motor manipulation ability requiring physical actuation; a still-image labeling model provides no motor output and at most could serve as visual input to some other system.,high,,83,82,1474,0
3,25,0,0.05,Control precision is a sensorimotor ability requiring continuous fine motor adjustment of physical controls; a still-image labeling model provides no actuation and at best indirect visual input to some control loop.,high,,71,88,1474,0
4,15,0,0.75,"VQA models must rapidly integrate partial visual cues into a coherent interpretation to answer questions, which is essentially the perceptual pattern-organization core of speed of closure, though the ability also covers non-visual sense-making the model does not address.",medium,,66,198,0,1494
4,18,0,0.6,"VQA can answer relative-location and viewpoint questions about a scene ('what is to the left of the camera', 'is the object behind the chair'), covering much of the perceptual judgement in spatial orientation, but it lacks the embodied, continuously updating self-localization and navigation component of the ability.",medium,,65,256,1494,0
4,19,0,0.5,"VQA grounds spatial relations and object configurations in images and can answer some questions requiring inferred rearrangement or viewpoint change, but mental rotation and simulating unseen post-transformation states remain weak and it only handles the given image rather than imagined alternatives.",medium,,62,193,0,1494
4,26,0,0.0,"Visual question answering produces text answers about images and has no motor output or control of limbs, so it cannot perform any part of coordinated multilimb movement.",high,,78,72,0,1494
4,32,0,0.0,"Visual question answering produces text answers about images and exerts no physical force, so it does nothing for maximal lifting, pushing, or carrying tasks.",high,,64,73,1494,0
5,17,0,0.15,"Image synthesis produces novel images rather than rapidly comparing sets of symbols or patterns for similarity; any support is incidental (e.g., learned visual features could underpin matching), not a core function of the generative model.",medium,,81,169,0,1494
5,23,0,0.0,"Image generation produces digital visual output and involves no physical grasping, manipulation, or assembly, consistent with the zero scores for other psychomotor abilities.",high,,82,78,0,1494
5,32,0,0.0,"Image synthesis produces visual outputs and has no bearing on exerting physical muscular force, matching the zero scores given for other physical abilities.",high,,64,71,1494,0
5,39,0,0.0,"Image synthesis produces static visual outputs and provides no support for whole-body motor coordination, which requires physical execution.",high,,73,65,1494,0
5,45,0,0.3,"A generative model implicitly encodes color, shade and brightness relationships when rendering coherent images, but its core output is synthesis rather than perceptual matching or detecting fine color differences in given stimuli, so support for the discrimination task itself is indirect.",medium,,63,244,1494,0
6,1,0,0.25,"The comprehension machinery transfers to spoken content once it is transcribed, but the application as defined takes a written passage and does nothing for the core auditory intake—parsing speech, prosody, accents, and live conversational context.",medium,,66,229,0,1526
6,23,0,0.0,Reading comprehension operates purely on text input and output; it provides no physical actuation or sensorimotor support for grasping or manipulating objects.,high,,82,71,1526,0
6,26,0,0.0,"Reading comprehension operates purely on text input and answer output, offering no motor control or physical coordination support.",high,,78,58,1526,0
6,37,0,0.0,"Reading comprehension operates purely on text input and output, with no physical or motor component, so it cannot support bodily bending, stretching, or reaching.",high,,69,74,1526,0
6,41,0,0.05,"Reading comprehension operates on already-supplied digital text and involves no visual perception or optical acuity; any link to close-range seeing is incidental (text must be read by someone), not a core task the system performs.",high,,56,89,1526,0
7,26,0,0.0,"Language modeling produces text only and has no motor output or embodied control, so it cannot perform any part of coordinating limbs.",high,,78,66,0,1488
7,27,0,0.0,Response Orientation is a psychomotor ability requiring rapid physical selection among movements to sensory signals; a text-predicting language model has no perceptual-motor loop or actuation.,high,,75,84,0,1488
7,32,0,0.0,"A text-predicting model exerts no physical force and cannot substitute for lifting, pushing, or carrying; the ability is purely physical with no codifiable text-output component.",high,,64,81,1488,0
7,36,0,0.0,Stamina is purely a cardiorespiratory physical capacity; a text-predicting model cannot substitute for or perform any of its core exertion tasks.,high,,61,77,1488,0
7,42,0,0.0,Far vision requires visual perception of distant physical detail; a text-only language model has no visual input or sensing capability at all.,high,,47,65,1488,0
8,6,0,0.2,"A translation model reproduces existing content across languages rather than generating novel ideas; only incidentally does idiom and register transfer require inventive rephrasing, which offers weak indirect support for originality.",medium,,74,147,0,1431
8,17,0,0.15,"Translation models do involve rapid symbolic pattern matching over text, so there is faint indirect overlap, but comparing sets of letters, numbers or pictures for similarities and differences is not a task the translation model performs or supports.",medium,,81,98,0,1431
8,30,0,0.0,Translation is a text-to-text model with no motor output; rapid repetitive finger/hand movement is entirely physical and untouched by it.,high,,72,71,0,1431
8,41,0,0.05,"A text-to-text translation model neither perceives visual detail nor substitutes for close-range seeing; any link is incidental (translated text still must be read), so support for the perceptual ability itself is negligible.",high,,56,89,0,1431
8,51,0,0.4,"The measured object is a text-to-text translation model, which does not itself transcribe or identify spoken words; support is indirect via pipelines where ASR feeds translation, consistent with but slightly below the 0.50 given to Oral Comprehension since recognition of the acoustic signal is the core here.",medium,,54,212,0,1431
9,19,0,0.0,Speech-to-text transcription operates entirely in the audio-linguistic domain and provides no support for mentally transforming or rearranging spatial objects.,high,,62,76,0,1460
9,22,0,0.0,Speech recognition produces text from audio and has no bearing on motor control or physical stabilization of the arm and hand.,high,,77,64,0,1460
9,33,0,0.0,Speech-to-text transcription involves no physical force exertion or muscular endurance; it shares no inputs or outputs with this ability.,high,,77,66,0,1460
9,34,0,0.0,"Speech-to-text transcription involves no motor force production or physical propulsion, so it cannot support explosive strength tasks in any way.",high,,79,70,0,1460
9,36,0,0.0,"Speech transcription involves no physical exertion or cardiorespiratory endurance, so it cannot substitute for or support stamina tasks.",high,,61,72,0,1460
10,26,0,0.0,Multilimb coordination is a physical psychomotor ability requiring embodied limb control; a digital agent operating software and APIs has no bearing on it.,high,,78,74,0,1562
10,27,0,0.05,"Response Orientation is a psychomotor speed ability involving rapid physical movement selection to sensory signals; agentic digital task execution involves no motor response, though trivial analogy exists in fast programmatic branching on inputs.",high,,75,100,0,1562
10,43,0,0.0,"Peripheral vision is an embodied visual-field capacity for detecting off-axis objects and motion; a digital agent that plans, browses and runs code has no bearing on it.",high,,69,81,1562,0
10,49,0,0.05,"Agentic task execution operates on digital text, tools and code; selective listening amid competing sound sources is an auditory-perceptual skill outside its measured modality, with at most incidental overlap via audio-processing tools it might invoke.",high,,64,101,1562,0
10,52,0,0.1,"Agentic task execution operates in digital text/tool environments; articulate speech production is not core to it, though its outputs could be piped to TTS as an indirect substitute.",high,,54,80,1562,0
11,19,0,0.3,"Formal reasoning systems can handle geometric and spatial problems symbolically (coordinates, transformations, topology), giving indirect support for predicting rearranged configurations, but they do not perform the mental imagery of how objects will look when moved, and typically fail on tasks requiring genuine visual-spatial manipulation.",medium,,62,190,0,1597
11,22,0,0.0,Formal reasoning produces symbolic derivations with no motor output; steadying an arm or hand requires physical embodiment the application lacks entirely.,high,,77,75,0,1597
11,46,0,0.0,Formal symbolic reasoning involves no low-light visual perception; the application provides no sensing or image enhancement capability.,high,,50,62,1597,0
11,47,0,0.0,Glare sensitivity is a low-level visual perception ability dependent on human eye physiology; formal symbolic reasoning provides no support for seeing under bright lighting.,high,,61,80,0,1597
11,51,0,0.02,"Formal symbolic reasoning over text-based math and science problems involves no audio perception or comprehension of spoken language, so it does nothing for the core task of identifying speech.",high,,54,82,1597,0
12,1,0,0.15,"The application's inputs are written issues and code, not speech; it does not process spoken language, so any support for understanding spoken information is incidental at best.",high,,66,69,0,1547
12,15,0,0.55,"Locating relevant code in a large repo and synthesizing scattered clues from an issue trace into a coherent diagnosis is a text-based pattern-integration task the system does well, though the ability's classic perceptual/gestalt component (incomplete visual stimuli) is outside its scope.",medium,,66,120,0,1547
12,23,0,0.0,"The application operates purely on text/code artifacts and provides no physical manipulation or grasping capability, so it contributes nothing to hand-arm object handling.",high,,82,74,0,1547
12,42,0,0.0,Far vision is a distal visual acuity capability; a coding agent operating on text and repositories neither requires nor substitutes for seeing details at a distance.,high,,47,74,1547,0
12,51,0,0.05,"The application operates on text-based issues and code, with no audio input or spoken-language understanding involved in its core tasks.",high,,54,61,1547,0
