ai_app_id,ability_id,replicate,attained_level,ceiling_reason,confidence,error
7,82,1,3.5,"It categorizes, codes, and compiles textual information fluently, but without tools its arithmetic and tabulation are error-prone and it cannot verify figures against source records, so consequential rule-plus-calculation work like insurance claim adjustments (level 4) cannot be left unsupervised.",medium,
9,83,1,1.0,"The pipeline converts audio to text and makes no judgment about whether events or processes conform to laws, regulations, or standards — not even a completeness check on a form.",high,
3,86,0,1.0,"A trained classifier only assigns labels to existing visual content; it originates no new designs, ideas, or artistic contributions, so it performs nothing of the activity even at the level-1 anchor.",high,
12,88,1,1.5,"It plans only the immediate steps to satisfy a given issue within a single task horizon; it never sets long-range objectives or organization-level strategies, so it falls short even of the level-2 bounded-schedule anchor.",high,
3,97,2,1.0,"A vision model only assigns labels to images; it cannot manipulate tools or parts, so it performs no servicing, adjusting, or testing of mechanical equipment even at the level-2 door-hinge anchor.",high,
3,89,0,1.0,"A trained vision model only assigns labels to image content; it performs no scheduling of events, programs, or people's work at all, even at the level of booking appointments on a fixed template.",high,
8,79,0,1.0,"A text translation model has no sensory access to physical equipment, structures, or materials and performs no inspection whatsoever, even the trivial level-1 check.",high,
9,97,0,1.0,"Speech recognition transcribes audio and has no physical actuation or mechanical servicing capability whatsoever, so it performs none of this activity even at level 1.",high,
2,92,0,1.0,"The agent acts only through game controller/API inputs inside a simulated environment and has no physical embodiment, so it never handles, positions, or moves real materials at any level.",high,
7,87,2,3.3,"With frozen weights and no retrieval, it cannot actually keep current \is, so any updating is limited to what a supervisor pastes into context, and its confident recall of stale or hallucinated technical details makes unsupervised currency in a changing domain (level 4+) unattainable.",medium,
4,96,1,1.7,"VQA only answers questions about an image; it produces no drawings, documentation, or fabrication/assembly specifications, so it can at best offer informal suggestions (e.g., commenting on a room's lighting) rather than deliver even a level-2 specification unsupervised.",high,
4,76,0,3.4,"It reliably extracts and answers questions about visible content in a single image (blueprint- or chart-reading level), but hallucinations on dense numeric/fine detail and its inability to cross-check or integrate multiple external sources make unsupervised budget-review-grade information gathering unreliable.",medium,
8,96,0,1.5,"A translation model only re-renders documentation that someone else has already authored; it cannot originate specifications, layouts, or drawings for devices or equipment, and has no access to the physical/engineering context needed even for a level-2 task like specifying work-area lighting.",high,
9,99,0,3.2,"It converts speech to text verbatim and can fill a dictation-capture role, but it exercises no judgment about what information matters, cannot verify or structure records, and residual errors under accent/noise/overlap require human review before the output can serve as an authoritative record like a crime-scene report.",medium,
5,76,1,2.3,"The model only ingests the prompt and any supplied reference image — it passively receives one specification rather than actively seeking, cross-checking or synthesising information from multiple sources, so it stops near the 'follow a standard blueprint' anchor.",medium,
12,89,0,1.0,"The system only reads issues and writes patches within a codebase; it schedules no events, programs, or other people's work, so it does not perform this activity even at level 1.",high,
12,81,2,2.8,"It can make routine, verifiable quality calls (is this the right code, does the patch pass tests, is this fix adequate) but its self-assessment of patch soundness, design quality, or library/service tradeoffs is unreliable and still requires human code review before merge.",medium,
3,78,2,4.0,"It can categorize and flag visual differences reliably in constrained domains (e.g., defect or grade inspection akin to judging food product acceptability), but cannot perform the causal, multi-modal inference and novel-situation judgment implied by level 5-6 anchors, and its errors under distribution shift require human oversight in safety-critical uses.",medium,
8,94,1,1.0,"A text translation model has no actuators, sensors, or control capability, so it performs no vehicle or equipment operation at all, even at level 1.",high,
11,86,2,4.5,"It reliably composes non-retrievable multi-step derivations and proofs for well-posed problems (creative recombination of known methods), but genuinely novel research-level constructions are hit-or-miss and its invalid steps are fluent enough to require expert verification, so it cannot be trusted unsupervised at the level of originating new systems or bodies of work.",medium,
4,91,0,1.0,"A visual question answering model has no body or actuators and performs no physical movement whatsoever, so it does nothing for this activity even at level 1.",high,
3,91,2,1.0,"A still-image classifier has no body or actuators and performs no physical activity whatsoever, not even walking between work stations.",high,
10,79,2,1.5,"The activity requires physical sensing of equipment, structures, and materials, which a purely digital agent cannot do; it can at best read instrument data or logs exposed through software, falling short of even the level-1 physical check.",high,
12,81,0,2.5,"It reliably makes rule-checkable judgments (does this patch pass the tests, is this file relevant to the issue), but its broader assessments of patch correctness, code quality, or approach soundness are unreliable enough that merge decisions still require human review.",medium,
4,82,2,3.0,"It can categorize image content and extract/tabulate simple visual data, but transcription, counting, and arithmetic errors on dense documents or charts mean any consequential compilation or verification (e.g., claim adjustments) still needs human checking.",medium,
7,89,0,3.0,"With no calendar, roster, or availability data and no tool to verify, it can only draft plausible schedule text; multi-constraint scheduling (coverage, hour totals, no double-booking) reliably produces conflicts it cannot detect, so anything at the level-4 staff-roster anchor or above needs human checking.",medium,
6,77,0,2.5,"It can only review information already rendered as text in a supplied passage, so it cannot perceive materials, instruments, or events directly, and its anomaly-flagging in documents is not reliable enough to be trusted unsupervised where a missed problem carries real cost.",medium,
2,96,2,1.0,"A game-playing agent outputs control actions in an environment and produces no drawings, specifications, or documentation for others to fabricate or use anything.",high,
12,99,0,3.5,"It reliably produces incidental records of its work (commit messages, code comments, PR summaries) that are usually accurate, but its write-ups can overstate or misdescribe what the patch actually did, so it cannot be trusted unsupervised as the authoritative record of an investigation (level 4), let alone to maintain a curated, consequential information store over time (level 6).",medium,
2,79,0,1.0,"A game-playing agent acts only within a simulated environment and never perceives or diagnoses real equipment, structures, or materials, so it performs none of this activity even at the level-1 anchor.",high,
12,97,1,1.0,"The application is a purely software agent with no physical embodiment or tools, so it cannot service, adjust, or test any mechanical equipment even at the simplest level.",high,
9,81,0,1.2,"The pipeline only maps acoustic signal to text and at most scores its own hypotheses' confidence; it makes no assessment of the value, importance, or quality of any external object, service, or person, so even the level-2 anchor (a substantive judgment leading to a decision) is out of scope.",high,
1,85,2,3.5,"Its decision-making is superhuman only inside a closed world with fixed rules, a single explicit objective and complete state information, so it cannot handle the ambiguous, multi-criteria, consequence-laden real-world tradeoffs described at level 4 and above.",medium,
10,79,1,1.5,"The activity requires physically sensing equipment, structures, or materials, which a purely digital agent cannot do; it can only diagnose faults from logs, telemetry, or code, and even the level-1 anchor (verifying doors are locked) needs embodiment or dedicated sensors it does not have.",medium,
10,80,1,3.5,"It can gather data, build spreadsheets/models and produce well-structured estimates of time, cost and resources, but its assumptions are unverifiable against physical or field ground truth and it cannot be trusted unreviewed for high-stakes estimates like disaster-evacuation timing or resource reserves.",medium,
8,85,2,2.5,"Its decision-making is confined to bounded, low-stakes intra-sentence choices (disambiguation, idiom and register selection) with no capacity to weigh external consequences, evaluate outcomes against goals, or be accountable for a consequential choice.",medium,
10,95,2,4.5,"It reliably handles data entry, scripting, and self-contained application development (level 4), but silent errors on large, multi-system integration work and lack of accountable authority over production/enterprise environments mean level 5-6 tasks still require human architecture, review, and sign-off.",medium,
7,97,2,1.0,"A text-only model has no hands, tools, or sensors, so it cannot service, adjust, or test any physical mechanical equipment even at the level of tightening a door hinge.",high,
8,94,0,1.0,"A text translation model has no actuators, sensors, or control capability, so it does not operate vehicles or equipment at all, even at level 1.",high,
