ai_app_id,ability_id,replicate,r,rationale,confidence,error,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens
3,72,1,0.1,"Consultation and advice depend on language, domain reasoning, and social judgement about organizational context; image labeling contributes only marginally, e.g. as an input in niche visual-inspection advisory tasks.",high,,77,90,1486,0
13,67,0,0.4,"Conversational AI can carry much of the communicative surface of coordination — relaying assignments, clarifying intent, scheduling, sending reminders, summarizing and facilitating dialogue — but the ability's core depends on authority, accountability, group-specific context and interpersonal judgement that a dialogue system does not hold.",medium,,65,308,1496,0
9,68,0,0.1,"Transcription of meetings can capture team discussions for follow-up, but building trust, respect and cooperation depends on interpersonal judgement, presence and relational action that a speech-to-text pipeline does not perform.",high,,65,149,1460,0
12,66,0,0.05,"Autonomous code-patching in a repository involves no live interaction with customers, guests, or audiences; any connection is incidental (e.g., building software that others use), so it does not execute the ability's core sub-tasks of in-person service and public engagement.",high,,86,103,1547,0
6,67,1,0.15,"Coordinating a group depends on interpersonal influence, real-time social judgement, and authority over people; a passage-question-answering system offers only marginal indirect help (e.g., extracting task details from plans or documents) and cannot execute the core coordination tasks.",medium,,65,109,1544,0
1,69,1,0.15,"A game-playing agent with search produces strong moves and position evaluations that can be repurposed as training feedback in a single narrow domain, but it does not diagnose learners' needs, design curricula, or instruct in natural language across subjects.",medium,,76,200,1529,0
8,67,1,0.2,"Translation only removes a language barrier in group communication; the core coordination tasks—assigning work, sequencing activities, motivating and adjudicating among people—require social judgement and situational context the model does not supply.",medium,,65,155,1445,0
4,69,2,0.3,"VQA can serve as a tutoring aid — explaining diagrams, charts, worked problems or lab images and answering learner questions about visual material — but the ability's core tasks (diagnosing educational needs, designing curricula, delivering and adapting instruction to a group) are largely non-visual and depend on social judgement and sustained pedagogical context the model does not supply.",medium,,76,305,1479,0
4,67,1,0.08,"Coordinating group work depends on social judgement, negotiation, and ongoing interpersonal management; an image-question-answering model supplies none of these, offering at most incidental situational awareness from visual scenes.",high,,65,136,1487,0
13,75,2,0.15,"Budget oversight rests on quantitative tracking, accounting data and allocation decisions rather than dialogue; a conversational system only indirectly helps by fielding queries, relaying spending status, or negotiating with stakeholders.",medium,,66,182,1477,0
8,66,1,0.25,"A text translation model can bridge language barriers when receiving guests or serving customers, but the ability's core is in-person service, hospitality demeanour and real-time social performance, which the model does not execute.",medium,,86,161,1445,0
11,75,1,0.2,"Budget monitoring and spending oversight are mainly institutional, accountability-bearing tasks requiring organizational context and authority; formal multi-step derivation helps only indirectly with quantitative analysis like cost projections or variance calculations.",medium,,66,104,1614,0
7,61,2,0.65,"Drafting and responding to external written communication (customer emails, press statements, public-facing copy) is squarely in a language model's wheelhouse, but a large share of this activity happens in person or by phone and requires organizational authority, relationship judgement, and accountability for representations the model cannot supply.",medium,,102,245,1483,0
8,68,2,0.15,"Team building rests on interpersonal trust, social judgement and presence, which a translation model cannot perform; it only removes a language barrier in multilingual teams, an indirect enabler of communication rather than support for the ability's core sub-tasks.",high,,65,167,1439,0
1,69,0,0.15,"The agent outputs moves and position evaluations, not instruction: it cannot assess a learner's needs, design curricula, or explain in natural language; its only teaching contribution is indirect, as an analysis/feedback engine within the narrow game domain.",high,,76,239,1538,0
