ai_app_id,ability_id,replicate,r,rationale,confidence,error,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens
13,25,0,0.0,Control precision is a psychomotor ability requiring continuous fine motor adjustment of physical controls; a dialogue system has no actuators and its language-based inputs/outputs bear on none of these sub-tasks.,high,,71,94,1496,0
13,29,0,0.0,"Reaction Time is a psychomotor ability requiring rapid hand, finger, or foot responses to sensory signals; a dialogue system produces language turns and has no motor output or role in speeded stimulus-response tasks.",high,,75,147,0,1496
13,1,0,0.75,"Deployed conversational systems include speech recognition and semantic understanding, so they can transcribe and interpret spoken input and act on intent across most core sub-tasks, though they still degrade with accents, noise, overlapping speakers, and heavy contextual or prosodic nuance.",high,,66,117,1496,0
13,26,2,0.0,Multilimb coordination is a purely psychomotor ability requiring physical actuation of limbs; a dialogue system has no motor output and cannot perform or substitute for any of its core tasks.,high,,78,87,1477,0
13,42,1,0.0,"Conversational systems operate on speech and text; they have no visual sensing of distant detail, so they neither perform nor assist the core perceptual task of resolving details at a distance.",high,,47,82,0,1503
13,46,2,0.0,Night vision is a low-light visual perception ability requiring optical sensing; a dialogue system handling speech and text provides no visual input or enhancement of dim-light seeing.,high,,50,83,1477,0
13,1,1,0.78,"Deployed conversational systems combine speech recognition with semantic understanding and dialogue-state tracking, directly executing the core task of taking in spoken language and extracting intent and meaning, though they still degrade with noise, accents, overlapping speakers, and heavy situational or prosodic context.",high,,66,121,1503,0
13,50,0,0.05,"Conversation systems process speech content, not spatial cues; directional source localization is at best an incidental preprocessing feature (mic-array beamforming) rather than a capability the deployed dialogue system delivers.",high,,54,173,1496,0
13,35,2,0.0,"Conversational dialogue systems produce and interpret language; they provide no physical force or postural support, so they cannot substitute for or aid sustained abdominal and lower-back muscle exertion.",high,,76,86,1477,0
13,38,1,0.0,"Dynamic Flexibility is a purely physical, whole-body motor ability; a conversational dialogue system has no bodily actuation and cannot perform or substitute for repeated bending, stretching or twisting.",high,,80,91,1503,0
13,21,0,0.25,"A conversational system can hold and interleave dialogue threads and let a person offload one information stream (e.g., voice interaction while doing another task), but time sharing is fundamentally an attentional-switching capacity across concurrent activities, much of it non-linguistic, which the application does not execute.",medium,,59,283,0,1496
13,2,0,0.75,"Text-based conversational systems must parse and interpret written user input to respond appropriately, so reading comprehension of prose is a core input capability, comparable to the oral comprehension and written expression pairings; it falls short of 1.0 because long, technical or deeply contextual documents can still be misread.",high,,57,173,1496,0
13,2,1,0.75,"A deployed conversational system must parse and interpret written user input, track referents across turns, and infer intent from text, which is essentially the core of written comprehension; it falls short only on deep, long-form or highly context-dependent reading.",high,,57,215,1503,0
13,11,1,0.5,"A dialogue system can articulate and switch among alternative grouping schemes on request, so it supports the verbal, explanation-driven side of category flexibility, but the core task of restructuring rule sets over non-linguistic materials is only indirectly served by a conversational interface.",medium,,65,317,1503,0
13,39,0,0.0,"Conversational dialogue systems produce and interpret language; they have no motor output or whole-body control, so they cannot execute any sub-task of coordinating limbs and torso in motion.",high,,73,85,1496,0
